pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID,wpa_rt,after_we_rt
직구,감보아,송성문,55532,65357,151,스트라이크,,,,0,0,0,1,T,0,0,0,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,0.289,3.025,1.734,12.294,3.469,-7.835,1.478,6.54,3.331,1.615,50,-3.782,-135.603,-7.653,3.221,30.336,-9.339,20250603,LT,WO,롯데,키움,사직,박종철,1,1,250603_170200,20250603WOLT02025,,
직구,감보아,송성문,55532,65357,154,볼,,,,0,1,0,1,T,0,0,0,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,0.072,4.581,0.769,8.564,0.859,-12.787,1.075,6.604,3.331,1.615,50,-3,-138.118,-2.605,1.475,32.844,-15.75,20250603,LT,WO,롯데,키움,사직,박종철,1,2,250603_170217,20250603WOLT02025,,
직구,감보아,송성문,55532,65357,153,파울,,,,1,1,0,1,T,0,0,0,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,0.507,4.037,0.338,12.418,6.083,-7.001,1.191,6.651,3.331,1.615,50,-1.97,-137.1,-5.496,0.643,30.406,-8.546,20250603,LT,WO,롯데,키움,사직,박종철,1,3,250603_170234,20250603WOLT02025,,
슬라이더,감보아,송성문,55532,65357,141,헛스윙,삼진,삼진,송성문 : 삼진 아웃;,1,2,0,1,T,0,0,0,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,0.231,3.776,-1.666,2.614,2.774,-26.528,1.794,6.517,3.331,1.615,50,-3.382,-127.035,-1.332,-2.731,25.201,-27.889,20250603,LT,WO,롯데,키움,사직,박종철,1,4,250603_170256,20250603WOLT02025,-2.3,47.7
직구,감보아,최주환,55532,76267,153,스트라이크,,,,0,0,1,1,T,0,0,0,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.265,2.541,1.989,7.432,-3.18,-15.199,1.133,6.264,3.228,1.566,50,-4.446,-137.192,-6.598,3.717,35.832,-18.283,20250603,LT,WO,롯데,키움,사직,박종철,2,1,250603_170330,20250603WOLT02025,,
슬라이더,감보아,최주환,55532,76267,143,볼,,,,0,1,1,1,T,0,0,0,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.167,1.269,-1.665,1.672,-1.998,-27.529,1.77,6.184,3.228,1.566,50,-4.353,-127.892,-6.631,-2.773,24.973,-29.389,20250603,LT,WO,롯데,키움,사직,박종철,2,2,250603_170347,20250603WOLT02025,,
직구,감보아,최주환,55532,76267,153,타격,필드 아웃,플라이 아웃,최주환 : 우익수 플라이 아웃;,1,1,1,1,T,0,0,1,0,좌,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,0.865,2.343,0.454,12.618,10.38,-7.12,1.165,6.474,3.228,1.566,50,-0.965,-136.773,-9.502,0.85,33.618,-8.564,20250603,LT,WO,롯데,키움,사직,박종철,2,3,250603_170409,20250603WOLT02025,-1.7,46
커브,감보아,임지열,55532,64340,129,볼,,,,0,0,2,1,T,0,0,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.64,0.518,-3.574,-5.909,-7.68,-47.141,1.453,6.357,3.292,1.597,50,-3.678,-115.989,-4.308,-4.688,29.174,-39.925,20250603,LT,WO,롯데,키움,사직,박종철,3,1,250603_170446,20250603WOLT02025,,
직구,감보아,임지열,55532,64340,154,볼,,,,1,0,2,1,T,0,0,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.852,4.084,2.009,6.133,-10.22,-16.265,1.018,6.362,3.292,1.597,50,-5.826,-138.322,-2.524,3.903,30.097,-20.26,20250603,LT,WO,롯데,키움,사직,박종철,3,2,250603_170507,20250603WOLT02025,,
직구,감보아,임지열,55532,64340,153,스트라이크,,,,2,0,2,1,T,0,0,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.103,2.973,2.896,11.32,-1.231,-8.815,1.154,6.446,3.292,1.597,50,-4.411,-136.96,-7.397,5.488,30.896,-10.721,20250603,LT,WO,롯데,키움,사직,박종철,3,3,250603_170525,20250603WOLT02025,,
